"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"subject","integer",10535,0,10535,5268,5268,5268,NA,3041.33687709862,NA,1,10535,10534,0,0,-1.20034172348455,-12.5773623111406,NA,NA
"country","character",10535,0,25,NA,NA,1306,"Germany",NA,0.950224624722573,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rel_1","numeric",10535,0,7,0.271570953962981,0.166666666666667,0.166666666666667,NA,0.326367302540909,NA,0,1,1,0.853139268194115,17.8769491335927,-0.650119203106633,-6.81204743859538,NA,NA
"rel_2","numeric",10535,0,8,0.3198725337311,0.142857142857143,0.142857142857143,NA,0.37414877476597,NA,0,1,1,0.646606745673476,13.5492015580422,-1.21472128287742,-12.7280335115331,NA,NA
"rel_3","numeric",10535,0,2,0.237778832463218,0,0,NA,0.425743190833923,NA,0,1,1,1.23171095959014,25.8096596801725,-0.482933925900235,-5.06025479207375,NA,NA
"rel_4","numeric",10535,0,2,0.467394399620313,0,0,NA,0.498959423776934,NA,0,1,1,0.130681990748745,2.73835162486084,-1.98311043045715,-20.7793313344594,NA,NA
"rel_5","numeric",10535,0,7,0.447017876918209,0.5,0.5,NA,0.333919715622531,NA,0,1,1,0.123022197456681,2.57784590186686,-1.26425907406785,-13.2470979876782,NA,NA
"rel_6","numeric",10535,0,7,0.473247903812688,0.5,0.5,NA,0.385311843084432,NA,0,1,1,0.109191257694896,2.28802803061286,-1.52983518382983,-16.0298446741493,NA,NA
"rel_7","numeric",10535,0,7,0.468786584401202,0.5,0.5,NA,0.377373213868113,NA,0,1,1,0.115531810598908,2.42088997469358,-1.47185190127444,-15.4222870608296,NA,NA
"rel_8","numeric",10535,0,5,0.264546748932131,0,0,NA,0.323085444657699,NA,0,1,1,0.928538732199519,19.4568932681277,-0.396016837228778,-4.14952437767396,NA,NA
"rel_9","numeric",10535,0,5,0.357925961082107,0.25,0.25,NA,0.376902575954225,NA,0,1,1,0.552418074395464,11.575542451995,-1.19581618628188,-12.5299430471618,NA,NA
"cnorm_1","numeric",10535,0,5,0.383792121499763,0.25,0.25,NA,0.26852213955109,NA,0,1,1,0.361105168291838,7.56671151604033,-0.483930606566858,-5.07069816299668,NA,NA
"cnorm_2","numeric",10535,0,5,0.457071665875653,0.5,0.5,NA,0.299023497900397,NA,0,1,1,0.213436954129851,4.47242521175353,-0.826742813255397,-8.66273636665648,NA,NA
"wb_gen_1","integer",10535,0,5,3.78984337921215,4,4,NA,0.845178265072448,NA,1,5,4,-0.632060500947576,-13.2443949611074,0.380458165003374,3.98649825450371,NA,NA
"wb_gen_2","integer",10535,0,5,3.64404366397722,4,4,NA,0.987733948942498,NA,1,5,4,-0.672394282715674,-14.0895617374064,-0.0710106688564278,-0.744060539336248,NA,NA
"wb_phys_1","integer",10535,0,5,3.95757000474608,4,4,NA,1.08601207729112,NA,1,5,4,-0.818941469079586,-17.1603576718665,-0.238457033217357,-2.49858889659181,NA,NA
"wb_phys_2","integer",10535,0,5,4.17759848125297,5,5,NA,1.09786514800086,NA,1,5,4,-1.26126291406872,-26.4289006490358,0.694920222800471,7.28147930584913,NA,NA
"wb_phys_3","integer",10535,0,5,3.63350735643094,4,4,NA,0.965415429298582,NA,1,5,4,-0.556343538093258,-11.6577978556172,-0.0658911775519595,-0.690417734353922,NA,NA
"wb_phys_4","integer",10535,0,5,4.28476506881823,5,5,NA,0.888383825009108,NA,1,5,4,-1.34457221689401,-28.1745900393688,1.67210938348142,17.5206152784993,NA,NA
"wb_phys_5","integer",10535,0,5,3.38500237304224,4,4,NA,1.08742708368233,NA,1,5,4,-0.411942020862615,-8.63196294848636,-0.667094949922195,-6.98992188386726,NA,NA
"wb_phys_6","integer",10535,0,5,3.73175130517323,4,4,NA,0.96334615105938,NA,1,5,4,-0.701333473179822,-14.6959626559692,0.0947017262722776,0.992299025780072,NA,NA
"wb_phys_7","integer",10535,0,5,3.66074988134789,4,4,NA,1.02667664812637,NA,1,5,4,-0.703463760233151,-14.740601362347,-0.0188858096643356,-0.197888372986016,NA,NA
"wb_psych_1","integer",10535,0,5,3.57740863787375,4,4,NA,0.908089880696502,NA,1,5,4,-0.472338492231974,-9.8975296464113,0.00695382136702305,0.0728631930964659,NA,NA
"wb_psych_2","integer",10535,0,5,3.51627906976744,4,4,NA,1.07912507628945,NA,1,5,4,-0.499307722932067,-10.4626514071506,-0.33848516344568,-3.54669878944414,NA,NA
"wb_psych_3","integer",10535,0,5,3.5250118652112,4,4,NA,0.902770842458088,NA,1,5,4,-0.338978928536477,-7.10307131405837,-0.13383328441665,-1.40232541655859,NA,NA
"wb_psych_4","integer",10535,0,5,3.57797816801139,4,4,NA,1.08494762432998,NA,1,5,4,-0.588461701697762,-12.3308119793693,-0.255215143128116,-2.67418290942481,NA,NA
"wb_psych_5","integer",10535,0,5,3.54181300427148,4,4,NA,0.989662313777872,NA,1,5,4,-0.615164551766763,-12.890351916402,-0.052879887138114,-0.55408346348034,NA,NA
"wb_psych_6","integer",10535,0,5,3.31485524442335,3,3,NA,0.966724967570715,NA,1,5,4,-0.44996277540141,-9.42866182316083,-0.354746758616288,-3.7170902456572,NA,NA
"wb_soc_1","integer",10535,0,5,3.62145230185097,4,4,NA,1.03573660326937,NA,1,5,4,-0.63999729033419,-13.4107049475752,-0.136958357751236,-1.43507040809639,NA,NA
"wb_soc_2","integer",10535,0,5,3.68704318936877,4,4,NA,1.01886428484051,NA,1,5,4,-0.650783182146134,-13.636715924295,0.0218667091888416,0.229122689513797,NA,NA
"wb_soc_3","integer",9540,0.0944470811580446,6,3.35901467505241,3,3,NA,1.20719506386017,NA,1,5,4,-0.346821003557385,-6.91579683999367,-0.751480474658661,-7.49324662920912,NA,NA
