"subject","country","rel_1","rel_2","rel_3","rel_4","rel_5","rel_6","rel_7","rel_8","rel_9","cnorm_1","cnorm_2","wb_gen_1","wb_gen_2","wb_phys_1","wb_phys_2","wb_phys_3","wb_phys_4","wb_phys_5","wb_phys_6","wb_phys_7","wb_psych_1","wb_psych_2","wb_psych_3","wb_psych_4","wb_psych_5","wb_psych_6","wb_soc_1","wb_soc_2","wb_soc_3","wb_overall_mean","wb_phys_mean","wb_psych_mean","wb_soc_mean","age","gender","ses","education","ethnicity","denomination","gdp","gdp_scaled","sample_type","compensation","attention_check","majority"
"5868","Brazil","0","0","0","1","1","0.166666666666667","0.166666666666667","1","0.5","0.25","0","5","4","5","5","2","2","5","3","4","3","4","3","4","4","3","4","2","4","3.55555555555556","3.71428571428571","3.66666666666667","3.5","18","man","7","5","Caucasian/European","Christian (Protestant)","2015.59048548675","0.28604408028733","online panel","monetary reward","1","1"
"548","Spain","0","1","1","0","0.833333333333333","0.5","0.166666666666667","0.5","0.5","0.25","0.75","5","4","2","3","4","4","4","2","4","3","1","2","5","3","2","5","3","5","4.27777777777778","4.28571428571429","2.66666666666667","3.33333333333333","37","man","7","3","Caucasian/European",NA,"78806.431996268","-1.14590037797124","mixed","raffle","5","1"
"5965","Lithuania","0","0","0","0","1","1","0","1","0","0.5","0.5","4","4","5","2","4","4","4","4","2","4","4","3","5","4","3","2","5","1","3.77777777777778","4","2.83333333333333","3","24","woman","6","5","Caucasian/European","Christian (Protestant)","8920.76210462979","-0.208237450865951","mixed","no compensation + course credit","7",NA
"7887","Chile","0","0","1","0","0","1","0.333333333333333","0","0.75","0.5","1","4","4","5","3","4","5","4","4","3","4","5","3","4","2","3","4","4","5","4.22222222222222","2.85714285714286","3.16666666666667","4.66666666666667","39","man","8","5","South Asian",NA,"41613.9980821757","0.590206515018923","mixed","monetary reward","1","1"
"3772","Germany","0.666666666666667","0","0","0","0","0.166666666666667","0.166666666666667","0.25","0","0.5","0.5","4","4","1","1","3","4","3","2","4","3","4","3","2","4","4","4","4","4","3.05555555555556","4.57142857142857","4","4.33333333333333","40","man","6","4","Caucasian/European","Christian (Roman Catholic)","42491.3644350973","1.97326652406719","online panel","no compensation","1",NA
"7792","UK","0.166666666666667","0","0","0","1","0.333333333333333","0.166666666666667","0.25","0","0","0","4","4","4","4","4","4","4","4","4","5","5","3","5","3","4","5","5","3","3","4.85714285714286","3.66666666666667","3.66666666666667","29","woman","6","4","Caucasian/European","Christian (Roman Catholic)","53024.0592130531","0.590206515018923","online panel","raffle","1","1"
"5275","Ireland","0","0","1","1","0.666666666666667","1","0","0","0","0.5","0.25","4","3","5","5","4","5","1","5","3","3","4","3","4","4","4","4","4","3","4.44444444444444","4","3.83333333333333","3","34","man","7","3","Caucasian/European","Christian (Roman Catholic)","57305.2990162045","0.51613148818575","mixed","monetary reward","1","1"
"2144","Australia","0.166666666666667","0.285714285714286","0","0","0","0","0.666666666666667","0","0","0.5","0.25","5","3","5","5","4","3","4","4","3","3","5","3","4","5","4","3","4","4","4.22222222222222","3.14285714285714","4.5","4.33333333333333","29","woman","7","3","Caucasian/European","Christian (Orthodox - Russian/Greek/etc.)","39286.7376488008","-1.44107284929397","mixed","monetary reward","1","0"
"4282","Germany","0.166666666666667","0.571428571428571","1","0","0","0.833333333333333","0.5","0","0.75","0.5","0.75","4","5","4","5","3","5","4","5","5","3","4","4","4","3","3","4","3","5","3.11764705882353","3.85714285714286","4.66666666666667","2","51","woman","6","5","Caucasian/European","Christian (Roman Catholic)","62641.0145699281","-0.867917483502592","online panel","raffle","1","0"
"3051","Morocco","0","0.428571428571429","0","0","0.5","1","0.5","0.75","0.5","0.5","0.25","3","5","5","5","1","4","3","4","4","4","2","3","4","4","4","4","5","4","3.38888888888889","3","4.33333333333333","4.33333333333333","18","man","2","5","Caucasian/European","Christian (Roman Catholic)","2015.59048548675","1.33057548063109","online panel","course credit","1","1"
